Task,Short,Normal,Long,Total
prefrontal2,25,50,5,80
prefrontal3_reading,21,52,6,79
baseline_talk,21,53,4,78
gyrus_left_open,24,48,6,78
occipital4,22,48,8,78
frontal1_memorization,25,47,6,78
prefrontal1,23,48,7,78
gyrus_right_open,22,50,6,78
parietal_next_in_seq2,18,53,7,78
saying_words_based_on_cat2,28,47,3,78
frontal1_recall,26,46,6,78
gyrus_left_closed_eyes,21,50,6,77
image_angry,22,48,7,77
image_angry2,19,51,7,77
frontal3_recall,18,55,4,77
frontal2_recall,22,50,5,77
imagine_way_home,19,53,5,77
gyrus_right_closed_eyes,19,53,5,77
saying_words_based_on_cat,23,51,2,76
parietal_next_in_seq,24,47,5,76
temporal_how_many_instruments3,20,50,6,76
temporal_how_many_instruments4,19,51,6,76
image_sad2,21,50,5,76
parietal_2d_3d,22,46,8,76
image_sad,24,46,6,76
image_happy_cute,24,46,6,76
image_happiness,22,50,4,76
gyrus_coord,22,51,3,76
frontal3_saying_outloud,23,47,6,76
frontal2_memorization,27,43,6,76
gyrus_coord2,25,45,5,75
temporal_how_many_instruments2,20,50,5,75
valdo3,23,47,5,75
valdo1,21,47,6,74
valdo2,22,46,6,74
temporal_how_many_instruments1,20,47,6,73
