Task,Short,Normal,Long,Total
prefrontal2,25,36,19,80
prefrontal3_reading,28,40,11,79
baseline_talk,24,41,13,78
gyrus_left_open,25,38,15,78
occipital4,24,39,15,78
frontal1_memorization,27,34,17,78
prefrontal1,25,36,17,78
gyrus_right_open,24,38,16,78
parietal_next_in_seq2,21,41,16,78
saying_words_based_on_cat2,34,33,11,78
frontal1_recall,25,36,17,78
gyrus_left_closed_eyes,24,37,16,77
image_angry,23,36,18,77
image_angry2,22,38,17,77
frontal3_recall,27,42,8,77
frontal2_recall,25,37,15,77
imagine_way_home,25,34,18,77
gyrus_right_closed_eyes,23,37,17,77
saying_words_based_on_cat,31,37,8,76
parietal_next_in_seq,26,38,12,76
temporal_how_many_instruments3,23,33,20,76
temporal_how_many_instruments4,23,35,18,76
image_sad2,25,34,17,76
parietal_2d_3d,22,39,15,76
image_sad,26,33,17,76
image_happy_cute,25,33,18,76
image_happiness,28,35,13,76
gyrus_coord,27,39,10,76
frontal3_saying_outloud,27,34,15,76
frontal2_memorization,28,31,17,76
gyrus_coord2,31,34,10,75
temporal_how_many_instruments2,22,33,20,75
valdo3,24,37,14,75
valdo1,24,37,13,74
valdo2,26,36,12,74
temporal_how_many_instruments1,22,36,15,73
