Task,Short,Normal,Long,Total
parietal_next_in_seq2,507,1272,137,1916
parietal_next_in_seq,547,1189,137,1873
prefrontal2,394,798,118,1310
prefrontal3_reading,362,841,95,1298
occipital4,346,831,111,1288
parietal_2d_3d,382,799,99,1280
prefrontal1,405,752,122,1279
frontal3_recall,405,789,75,1269
frontal3_saying_outloud,400,762,98,1260
imagine_way_home,347,816,87,1250
gyrus_coord2,356,785,89,1230
frontal2_memorization,401,702,105,1208
frontal1_memorization,314,610,94,1018
frontal1_recall,305,613,77,995
valdo1,298,588,77,963
valdo3,246,632,75,953
valdo2,249,623,74,946
frontal2_recall,294,572,79,945
temporal_how_many_instruments4,234,581,60,875
temporal_how_many_instruments1,250,526,54,830
saying_words_based_on_cat,207,445,43,695
gyrus_left_open,216,416,48,680
baseline_talk,184,444,42,670
saying_words_based_on_cat2,206,393,43,642
gyrus_right_open,185,407,48,640
gyrus_coord,200,387,44,631
gyrus_left_closed_eyes,174,413,43,630
gyrus_right_closed_eyes,162,420,44,626
temporal_how_many_instruments3,170,371,41,582
temporal_how_many_instruments2,162,345,33,540
image_happiness,119,237,42,398
image_angry2,85,219,27,331
image_angry,91,208,32,331
image_sad,92,206,28,326
image_happy_cute,101,200,25,326
image_sad2,92,211,23,326
