Rank,Feature,Importance,Channel,Band
1,POW.O1.BetaL,0.028672986799993173,O1,BetaL
2,POW.AF3.Theta,0.028515515528481063,AF3,Theta
3,POW.AF4.Theta,0.025839276361042093,AF4,Theta
4,POW.F4.Alpha,0.024546187762083234,F4,Alpha
5,POW.AF4.Alpha,0.02334574810106916,AF4,Alpha
6,POW.AF4.Gamma,0.021351261761383206,AF4,Gamma
7,POW.AF3.Alpha,0.0207742025513174,AF3,Alpha
8,POW.F4.BetaL,0.02022870015866993,F4,BetaL
9,POW.F8.Theta,0.019348066764706115,F8,Theta
10,POW.O1.Alpha,0.018911411904258657,O1,Alpha
11,POW.AF4.BetaH,0.018887303100771045,AF4,BetaH
12,POW.F7.Theta,0.01823981656778568,F7,Theta
13,POW.T7.BetaH,0.018222027263644434,T7,BetaH
14,POW.T7.Gamma,0.018038377816462052,T7,Gamma
15,POW.P7.Theta,0.0171033747314551,P7,Theta
16,POW.FC5.Theta,0.0166909374947995,FC5,Theta
17,POW.O2.BetaL,0.01661394250532008,O2,BetaL
18,POW.F4.Theta,0.016480246244470604,F4,Theta
19,POW.F8.BetaH,0.01582293245900525,F8,BetaH
20,POW.FC6.Alpha,0.015682552435746216,FC6,Alpha
21,POW.F7.Alpha,0.01535940588051417,F7,Alpha
22,POW.FC5.BetaH,0.015345565324603197,FC5,BetaH
23,POW.O2.Theta,0.015324655114138696,O2,Theta
24,POW.T8.Gamma,0.015102913801007239,T8,Gamma
25,POW.O2.Gamma,0.015043901077441713,O2,Gamma
26,POW.O1.BetaH,0.014830531530019148,O1,BetaH
27,POW.F8.Alpha,0.014812165812983363,F8,Alpha
28,POW.T7.BetaL,0.01479551230302298,T7,BetaL
29,POW.P7.BetaL,0.014280134449674416,P7,BetaL
30,POW.T8.BetaH,0.01375338153314955,T8,BetaH
31,POW.P7.Alpha,0.01371085272913998,P7,Alpha
32,POW.P7.BetaH,0.013685723903341633,P7,BetaH
33,POW.O1.Theta,0.013537348893893861,O1,Theta
34,POW.AF4.BetaL,0.013442211919808574,AF4,BetaL
35,POW.F3.Alpha,0.013132811800052636,F3,Alpha
36,POW.AF3.BetaH,0.013032659232442016,AF3,BetaH
37,POW.P7.Gamma,0.012953915326046134,P7,Gamma
38,POW.P8.Alpha,0.012904433462382263,P8,Alpha
39,POW.T8.Theta,0.012819155638072588,T8,Theta
40,POW.FC6.BetaH,0.012613006974182328,FC6,BetaH
41,POW.F4.Gamma,0.012600896197031511,F4,Gamma
42,POW.FC5.Gamma,0.012514569014891612,FC5,Gamma
43,POW.F8.Gamma,0.012450038018912611,F8,Gamma
44,POW.O2.Alpha,0.0123747993541811,O2,Alpha
45,POW.AF3.BetaL,0.012321683328515498,AF3,BetaL
46,POW.F3.BetaH,0.011902284889984974,F3,BetaH
47,POW.T8.Alpha,0.011809043417663234,T8,Alpha
48,POW.F7.BetaH,0.011573068725467954,F7,BetaH
49,POW.AF3.Gamma,0.011441925207409618,AF3,Gamma
50,POW.FC5.Alpha,0.011142818242126824,FC5,Alpha
51,POW.P8.BetaL,0.011114158761196723,P8,BetaL
52,POW.F4.BetaH,0.01086535589390095,F4,BetaH
53,POW.T7.Alpha,0.010852633417172507,T7,Alpha
54,POW.F7.Gamma,0.01082942132125198,F7,Gamma
55,POW.F8.BetaL,0.010579649121369295,F8,BetaL
56,POW.T7.Theta,0.010545567169208726,T7,Theta
57,POW.O2.BetaH,0.010497606506851023,O2,BetaH
58,POW.F3.Theta,0.010352542609340766,F3,Theta
59,POW.FC6.Gamma,0.010062077973748789,FC6,Gamma
60,POW.FC6.BetaL,0.010047371926746389,FC6,BetaL
61,POW.T8.BetaL,0.010044560905217019,T8,BetaL
62,POW.FC5.BetaL,0.009753426089693509,FC5,BetaL
63,POW.F3.Gamma,0.009561260119775157,F3,Gamma
64,POW.F3.BetaL,0.009375185872355217,F3,BetaL
65,POW.FC6.Theta,0.009352991924805256,FC6,Theta
66,POW.P8.Gamma,0.009121601602120616,P8,Gamma
67,POW.P8.Theta,0.008894385757758645,P8,Theta
68,POW.O1.Gamma,0.008745586689343852,O1,Gamma
69,POW.F7.BetaL,0.008586549146317162,F7,BetaL
70,POW.P8.BetaH,0.006891785777260989,P8,BetaH
